Postcode,Population
BH22 9,"8,374"
BH23 1,"5,592"
BH23 2,"12,055"
BH23 3,"8,891"
BH23 4,"9,687"
BH23 5,"6,849"
BH23 6,501
BH23 7,"4,485"
BH23 8,"4,758"
BH24 1,"10,473"
BH24 2,"6,859"
BH24 3,"4,879"
BH24 4,"1,384"
BH25 5,"12,352"
BH25 6,"6,598"
BH25 7,"6,767"
BH3  7,"5,740"
BH31 6,"10,168"
BH31 7,"3,192"
BH4  8,"5,323"
BH4  9,"4,059"
BH5  1,"6,383"
BH5  2,"4,863"
BH6  3,"9,043"
BH6  4,"3,617"
BH6  5,"9,539"
BH7  6,"8,130"
BH7  7,"3,690"
BH8  0,"7,307"
BH8  8,"12,631"
BH8  9,"8,077"
BH9  1,"12,693"
BH9  2,"8,878"
BH9  3,"10,048"
BL0  0,"5,575"
BL0  9,"12,178"
BL1  1,413
BL1  2,"4,243"
BL1  3,"9,919"
BL1  4,"9,093"
BL1  5,"12,151"
BL1  6,"8,641"
BL1  7,"8,374"
BL1  8,"10,965"
BL2  1,"3,922"
BL2  2,"8,402"
BL2  3,"8,526"
BL2  4,"4,708"
BL2  5,"9,312"
BL2  6,"10,663"
BL3  1,"12,315"
BL3  2,"9,408"
BL3  3,"14,867"
BL3  4,"14,244"
BL3  5,"7,974"
BL3  6,"5,470"
BL4  0,"10,178"
BL4  7,"6,773"
BL4  8,"8,127"
BL4  9,"8,372"
BL5  1,"2,664"
BL5  2,"12,536"
BL5  3,"11,840"
BL6  4,"5,996"
BL6  5,"10,071"
BL6  6,"6,889"
BL6  7,"6,472"
BL7  0,"3,180"
BL7  8,687
BL7  9,"11,092"
BL8  1,"12,753"
BL8  2,"10,344"
BL8  3,"8,287"
BL8  4,"4,413"
BL9  0,"2,526"
BL9  5,"6,689"
BL9  6,"8,736"
BL9  7,"9,964"
BL9  8,"9,409"
BL9  9,"10,898"
BN1  1,"2,003"
BN1  2,"4,947"
BN1  3,"10,243"
BN1  4,"8,809"
BN1  5,"10,150"
BN1  6,"17,167"
BN1  7,"8,422"
BN1  8,"14,489"
BN1  9,"8,545"
BN10 7,"9,126"
BN10 8,"9,453"
BN11 1,"4,628"
BN11 2,"9,066"
BN11 3,"4,200"
BN11 4,"8,956"
BN11 5,"6,428"
BN12 4,"7,807"
BN12 5,"4,415"
BN12 6,"7,905"
BN13 1,"8,137"
BN13 2,"10,512"
BN13 3,"8,887"
BN14 0,"5,739"
BN14 7,"10,779"
BN14 8,"6,774"
BN14 9,"7,444"
BN15 0,"8,486"
BN15 8,"7,801"
BN15 9,"11,084"
BN16 1,"6,626"
BN16 2,"6,920"
BN16 3,"8,060"
BN16 4,"6,728"
BN17 5,"6,494"
BN17 6,"13,671"
BN17 7,"8,127"
BN18 0,"8,600"
BN18 9,"4,868"
BN2  0,"6,966"
BN2  1,"10,122"
BN2  3,"12,387"
BN2  4,"16,183"
BN2  5,"12,830"
BN2  6,"9,793"
BN2  7,"4,375"
BN2  8,"8,561"
BN2  9,"11,526"
BN20 0,"1,620"
BN20 7,"5,862"
BN20 8,"8,331"
BN20 9,"5,138"
BN21 1,"6,943"
BN21 2,"9,050"
BN21 3,"5,506"
BN21 4,"4,276"
BN22 0,"9,479"
BN22 7,"4,774"
BN22 8,"10,355"
BN22 9,"7,638"
BN23 5,"6,273"
BN23 6,"6,715"
BN23 7,"7,246"
BN23 8,"8,068"
BN24 5,"6,255"
BN24 6,"3,036"
BN25 1,"4,666"
BN25 2,"7,255"
BN25 3,"8,838"
BN25 4,"2,812"
BN26 5,"6,296"
BN26 6,"5,130"
BN27 1,"6,219"
BN27 2,"5,172"
BN27 3,"10,992"
BN27 4,"4,459"
BN3  1,"10,441"
BN3  2,"6,869"
BN3  3,"12,625"
BN3  4,"7,776"
BN3  5,"11,938"
BN3  6,"11,499"
BN3  7,"10,367"
BN3  8,"7,998"
BN41 1,"6,557"
BN41 2,"14,358"
BN42 4,"9,991"
BN43 5,"11,302"
BN43 6,"11,190"
BN44 3,"10,125"
BN45 7,669
BN5  9,"7,106"
BN6  8,"8,684"
